SUCURSAL,FECHA,HORA,FOLIO_CORTE,CAJA,CAJERO,FONDO_INICIAL,VENTAS_TOTALES_NETAS,RETIROS,SISTEMA_DEBE_HABER,REAL_CONTADO,DIFERENCIA,PAGO_DEBITO,PAGO_CREDITO,PAGO_EFECTIVO_CALC,FUE_MODIFICADO,USUARIO_MODIF,FECHA_MODIF
Tienda 1,2023-07-01,14:05:27.600000,Corte 1,Caja 1,Cajero 1,1866.15,2146.75,0.0,3955.85,4032.4,0.63,81.05,0.0,2033.11,NO,Admin 1,INFORMACION_PROTEGIDA
Tienda 1,2023-07-01,20:05:23.885000,Corte 2,Caja 1,Cajero 1,1682.26,4374.54,2512.43,3540.95,3533.67,-19.18,1006.48,283.13,3099.66,NO,Admin 1,INFORMACION_PROTEGIDA
Tienda 1,2023-07-02,16:19:24.725000,Corte 3,Caja 1,Cajero 1,2043.14,9926.32,5625.88,6491.07,6451.38,7.55,1083.41,396.87,8575.24,SI,Admin 2,INFORMACION_PROTEGIDA
Tienda 1,2023-07-03,15:44:16.516000,Corte 4,Caja 1,Cajero 1,2177.58,4438.11,76.67,6469.5,6487.13,0.26,628.46,0.0,3838.94,NO,Admin 1,INFORMACION_PROTEGIDA
Tienda 1,2023-07-03,20:27:04.618000,Corte 5,Caja 1,Cajero 1,1712.92,3044.25,414.16,4339.02,4347.54,-1.36,35.92,0.0,2997.17,SI,Admin 2,INFORMACION_PROTEGIDA
Tienda 1,2023-07-04,15:28:47.352000,Corte 6,Caja 1,Cajero 1,1530.1,3000.64,0.0,4465.03,4533.07,-10.67,0.0,0.0,2969.9,SI,Admin 2,INFORMACION_PROTEGIDA
Tienda 1,2023-07-04,20:25:19.943000,Corte 7,Caja 1,Cajero 1,2073.71,2252.2,0.0,4325.98,4282.93,2.26,0.0,208.79,2081.63,NO,Admin 1,INFORMACION_PROTEGIDA
Tienda 1,2023-07-05,15:30:00.672000,Corte 8,Caja 1,Cajero 1,1594.66,3953.23,0.0,5453.9,5476.78,-0.08,422.55,32.07,3420.93,NO,Admin 1,INFORMACION_PROTEGIDA
Tienda 1,2023-07-05,20:13:16.291000,Corte 9,Caja 1,Cajero 1,1769.3,1229.91,0.0,2978.91,2962.51,0.97,0.0,139.0,1095.07,SI,Admin 2,INFORMACION_PROTEGIDA
Tienda 1,2023-07-06,15:30:50.793000,Corte 10,Caja 1,Cajero 1,1972.27,4271.07,0.0,6164.34,6242.55,0.69,227.66,171.92,3799.65,SI,Admin 2,INFORMACION_PROTEGIDA
Tienda 1,2023-07-06,20:12:29.739000,Corte 11,Caja 1,Cajero 1,1523.88,2012.38,0.0,3545.32,3516.01,0.83,0.0,0.0,2044.66,NO,Admin 1,INFORMACION_PROTEGIDA
Tienda 1,2023-07-07,14:39:00.502000,Corte 12,Caja 1,Cajero 1,2342.26,1994.46,0.0,4382.11,4384.37,-0.38,200.22,0.0,1823.14,NO,Admin 1,INFORMACION_PROTEGIDA
Tienda 1,2023-07-07,20:18:14.886000,Corte 13,Caja 1,Cajero 1,1762.16,3295.03,774.6,4378.36,4252.53,-5.4,777.09,597.9,1944.83,NO,Admin 1,INFORMACION_PROTEGIDA
Tienda 1,2023-07-08,15:03:58.572000,Corte 14,Caja 1,Cajero 1,2271.52,3516.71,0.0,5873.97,5779.64,0.0,214.89,133.69,3117.58,SI,Admin 2,INFORMACION_PROTEGIDA
Tienda 1,2023-07-08,20:04:39.916000,Corte 15,Caja 1,Cajero 1,2260.31,1461.94,0.0,3770.07,3714.5,1.28,0.0,0.0,1467.9,NO,Admin 1,INFORMACION_PROTEGIDA
Tienda 1,2023-07-09,16:08:15.724000,Corte 16,Caja 1,Cajero 1,2477.19,5107.78,3161.99,4387.93,4368.68,-1.89,63.24,0.0,5118.24,NO,Admin 1,INFORMACION_PROTEGIDA
Tienda 1,2023-07-10,14:29:15.831000,Corte 17,Caja 1,Cajero 1,2167.04,4353.26,3189.01,3311.37,3393.29,0.0,350.73,0.0,3997.76,NO,Admin 1,INFORMACION_PROTEGIDA
Tienda 1,2023-07-10,20:26:21.215000,Corte 18,Caja 1,Cajero 1,1856.78,3118.32,0.0,4899.78,4932.01,0.68,92.97,393.33,2631.7,NO,Admin 1,INFORMACION_PROTEGIDA
Tienda 1,2023-07-11,15:00:38.145000,Corte 19,Caja 1,Cajero 1,2480.19,3084.49,0.0,5607.06,5678.44,-0.76,822.08,0.0,2312.92,SI,Admin 2,INFORMACION_PROTEGIDA
Tienda 1,2023-07-11,20:16:45.611000,Corte 20,Caja 1,Cajero 1,1833.33,1931.2,0.0,3727.3,3722.07,-8.94,0.0,129.81,1795.64,NO,Admin 1,INFORMACION_PROTEGIDA
Tienda 1,2023-07-12,15:06:49.953000,Corte 21,Caja 1,Cajero 1,2252.77,2837.73,0.0,5047.8,5075.18,1.3,94.08,471.83,2258.06,NO,Admin 1,INFORMACION_PROTEGIDA
Tienda 1,2023-07-12,20:23:20.442000,Corte 22,Caja 1,Cajero 1,1289.92,4948.98,0.0,6218.38,6196.76,-57.81,292.19,36.91,4626.24,NO,Admin 1,INFORMACION_PROTEGIDA
Tienda 1,2023-07-13,14:51:17.965000,Corte 23,Caja 1,Cajero 1,1574.45,4239.8,688.99,5058.0,5101.91,-0.37,532.76,0.0,3707.17,NO,Admin 1,INFORMACION_PROTEGIDA
Tienda 1,2023-07-13,20:11:33.738000,Corte 24,Caja 1,Cajero 1,1648.66,4510.93,320.34,5830.4,5900.63,3.07,0.0,57.97,4517.43,NO,Admin 1,INFORMACION_PROTEGIDA
Tienda 1,2023-07-14,15:21:36.477000,Corte 25,Caja 1,Cajero 1,1380.42,3133.34,0.0,4494.34,4504.7,0.64,223.72,0.0,2937.55,NO,Admin 1,INFORMACION_PROTEGIDA
Tienda 1,2023-07-14,20:23:44.033000,Corte 26,Caja 1,Cajero 1,1319.93,1582.08,0.0,2896.95,3181.4,318.02,175.15,310.82,1068.35,NO,Admin 1,INFORMACION_PROTEGIDA
Tienda 1,2023-07-15,16:35:34.454000,Corte 27,Caja 1,Cajero 1,2176.52,5754.09,0.0,7993.33,8006.51,0.8,379.62,0.0,5440.38,NO,Admin 1,INFORMACION_PROTEGIDA
