SUCURSAL,FECHA,FOLIO_INTERNO,UUID_FISCAL,ESTATUS,CLIENTE,RFC,ARTICULO,CANTIDAD,PRECIO_UNITARIO,IMPORTE_RENGLON,SUBTOTAL_FACTURA,IMPUESTOS_FACTURA,TOTAL_FACTURA,USO_CFDI,METODO_PAGO
Tienda 1,2023-07-01,Fact 6692,UUID 1,VIGENTE,Cliente 1,INFORMACION_PROTEGIDA,Prod 1,1.0,20.54,20.71,51.59,8.26,58.68,G03 ,PUE
Tienda 1,2023-07-01,Fact 6692,UUID 1,VIGENTE,Cliente 1,INFORMACION_PROTEGIDA,Prod 2,1.0,29.76,30.13,50.9,8.12,59.57,G03 ,PUE
Tienda 1,2023-07-01,Fact 6693,UUID 1,VIGENTE,Cliente 2,INFORMACION_PROTEGIDA,Prod 3,1.0,23.1,23.2,62.27,10.03,72.53,G03 ,PUE
Tienda 1,2023-07-01,Fact 6693,UUID 1,VIGENTE,Cliente 2,INFORMACION_PROTEGIDA,Prod 4,6.0,6.51,39.43,62.95,9.96,73.31,G03 ,PUE
Tienda 1,2023-07-01,Fact 6694,UUID 1,VIGENTE,Cliente 3,INFORMACION_PROTEGIDA,Prod 5,4.0,2.71,10.87,83.97,13.66,98.51,G03 ,PUE
Tienda 1,2023-07-01,Fact 6694,UUID 1,VIGENTE,Cliente 3,INFORMACION_PROTEGIDA,Prod 6,1.0,73.38,74.85,83.73,13.46,97.63,G03 ,PUE
Tienda 1,2023-07-01,Fact 6695,UUID 1,VIGENTE,Cliente 1,INFORMACION_PROTEGIDA,Prod 7,6.0,6.05,36.6,124.72,20.31,147.87,G03 ,PUE
Tienda 1,2023-07-01,Fact 6695,UUID 1,VIGENTE,Cliente 1,INFORMACION_PROTEGIDA,Prod 1,1.0,20.76,21.13,125.63,20.4,146.46,G03 ,PUE
Tienda 1,2023-07-01,Fact 6695,UUID 1,VIGENTE,Cliente 1,INFORMACION_PROTEGIDA,Prod 8,1.0,42.1,41.28,125.4,20.36,145.29,G03 ,PUE
Tienda 1,2023-07-01,Fact 6695,UUID 1,VIGENTE,Cliente 1,INFORMACION_PROTEGIDA,Prod 9,100.0,0.27,27.19,125.37,19.94,146.99,G03 ,PUE
Tienda 1,2023-07-03,Fact 6696,UUID 1,VIGENTE,Cliente 4,INFORMACION_PROTEGIDA,Prod 10,2.0,21.41,42.84,57.1,9.24,67.11,G03 ,PUE
Tienda 1,2023-07-03,Fact 6696,UUID 1,VIGENTE,Cliente 4,INFORMACION_PROTEGIDA,Prod 11,1.0,7.21,7.16,56.93,9.15,66.5,G03 ,PUE
Tienda 1,2023-07-03,Fact 6696,UUID 1,VIGENTE,Cliente 4,INFORMACION_PROTEGIDA,Prod 12,1.0,7.09,7.18,56.18,9.04,66.98,G03 ,PUE
Tienda 1,2023-07-03,Fact 6697,UUID 1,VIGENTE,Cliente 5,INFORMACION_PROTEGIDA,Prod 13,1.0,37.16,37.55,55.34,9.07,65.37,G03 ,PUE
Tienda 1,2023-07-03,Fact 6697,UUID 1,VIGENTE,Cliente 5,INFORMACION_PROTEGIDA,Prod 14,1.0,18.65,18.57,55.38,8.98,65.14,G03 ,PUE
Tienda 1,2023-07-03,Fact 6698,UUID 1,VIGENTE,Cliente 5,INFORMACION_PROTEGIDA,Prod 15,1.0,57.86,57.7,58.23,9.23,67.44,G03 ,PUE
Tienda 1,2023-07-03,Fact 6699,UUID 1,VIGENTE,Cliente 5,INFORMACION_PROTEGIDA,Prod 16,3.0,84.44,254.56,428.7,68.37,507.19,G03 ,PUE
Tienda 1,2023-07-03,Fact 6699,UUID 1,VIGENTE,Cliente 5,INFORMACION_PROTEGIDA,Prod 11,4.0,7.1,28.39,431.58,69.24,505.4,G03 ,PUE
Tienda 1,2023-07-03,Fact 6699,UUID 1,VIGENTE,Cliente 5,INFORMACION_PROTEGIDA,Prod 17,3.0,20.58,60.09,437.02,68.79,494.17,G03 ,PUE
Tienda 1,2023-07-03,Fact 6699,UUID 1,VIGENTE,Cliente 5,INFORMACION_PROTEGIDA,Prod 18,1.0,46.12,45.11,437.99,69.5,499.99,G03 ,PUE
Tienda 1,2023-07-03,Fact 6699,UUID 1,VIGENTE,Cliente 5,INFORMACION_PROTEGIDA,Prod 19,1.0,40.4,40.86,428.4,69.54,503.22,G03 ,PUE
Tienda 1,2023-07-03,Fact 6700,UUID 1,VIGENTE,Cliente 1,INFORMACION_PROTEGIDA,Prod 20,6.0,19.89,117.38,134.1,21.37,158.71,G03 ,PUE
Tienda 1,2023-07-03,Fact 6700,UUID 1,VIGENTE,Cliente 1,INFORMACION_PROTEGIDA,Prod 21,2.0,8.21,16.3,135.85,21.29,157.0,G03 ,PUE
Tienda 1,2023-07-04,Fact 6701,UUID 1,VIGENTE,Cliente 1,INFORMACION_PROTEGIDA,Prod 22,8.0,17.28,139.34,139.98,22.39,163.74,G03 ,PUE
